Provider CCN,CCN Facility Type,CCN category,Number of Beds,Total Costs,Cost of Charity Care,Total Income,Net Income,Net Patient Revenue,Total Days Title XVIII,Total Discharges Title XVIII,Fiscal Year Begin Date,Fiscal Year End Date
360027,STH,C,401.0,545127695.0,11601849.0,204391333.0,204391333.0,766878091.0,24134.0,4527.0,01-01-2021,12/31/2021
360185,STH,C,87.0,96635979.0,1644298.0,11719500.0,11719500.0,122045132.0,2977.0,668.0,07-01-2021,06/30/2022
361314,CAH,A,25.0,45101294.0,532266.0,8078510.0,8078510.0,59193721.0,625.0,168.0,01-01-2021,12/31/2021
370037,STH,C,431.0,560857493.0,32286385.0,72431707.0,72431707.0,624540980.0,29932.0,5035.0,01-01-2021,12/31/2021
370212,STH,C,9.0,40261039.0,288919.0,19254656.0,16458560.0,60847014.0,267.0,116.0,01-01-2021,12/31/2021
370237,STH,C,35.0,19141591.0,550888.0,4617738.0,4617738.0,25262985.0,1567.0,452.0,07-01-2021,06/30/2022
420005,STH,C,72.0,38604386.0,3627613.0,11816979.0,11816979.0,53723557.0,2546.0,525.0,10-01-2020,09/30/2021
420033,STH,C,73.0,96729725.0,4915050.0,32195335.0,32170076.0,153810085.0,5010.0,1129.0,10-01-2020,09/30/2021
450011,STH,C,298.0,372945660.0,20088433.0,-81023707.0,-81023707.0,429796811.0,20356.0,4344.0,07-01-2021,06/30/2022
450143,STH,C,8.0,17032371.0,2511792.0,-2295414.0,-2127291.0,14113462.0,161.0,36.0,07-01-2021,06/30/2022
450154,STH,C,47.0,69056605.0,8556926.0,-5589460.0,-5631275.0,67127630.0,1523.0,398.0,07-01-2021,06/30/2022
450162,STH,C,92.0,74687436.0,667871.0,-7396200.0,-7396200.0,70709216.0,109.0,46.0,01-01-2021,12/31/2021
450200,STH,C,185.0,88811991.0,4577836.0,-4341381.0,-4341381.0,86465495.0,8543.0,1832.0,01-01-2021,12/31/2021
450661,STH,C,222.0,113588230.0,7806229.0,12983934.0,12983934.0,149917426.0,4670.0,947.0,10-01-2020,09/30/2021
450698,STH,C,42.0,13889722.0,1295129.0,8719805.0,7643002.0,12069758.0,438.0,74.0,10-01-2020,09/30/2021
531309,CAH,A,14.0,24869841.0,8396.0,1457764.0,1457764.0,23964800.0,1984.0,147.0,07-01-2021,06/30/2022
670098,STH,C,128.0,91292448.0,5643141.0,24157053.0,24157053.0,125150402.0,5175.0,1154.0,06-01-2021,05/31/2022
40036,STH,C,197.0,204347555.0,8370895.0,21218098.0,26369443.0,257099974.0,21768.0,3960.0,01-01-2021,12/31/2021
161306,CAH,A,10.0,39773391.0,284010.0,7936173.0,7936173.0,43273900.0,1330.0,167.0,01-01-2021,12/31/2021
171352,CAH,A,18.0,9109268.0,112104.0,2497836.0,2497836.0,7929572.0,1305.0,102.0,01-01-2021,12/31/2021
171367,CAH,A,21.0,17177427.0,35777.0,-130659.0,-130659.0,15638951.0,1175.0,156.0,01-01-2021,12/31/2021
261314,CAH,A,24.0,18213139.0,161499.0,3798806.0,3798806.0,17472220.0,1328.0,124.0,01-01-2021,12/31/2021
340024,STH,C,59.0,42061821.0,2108580.0,9898202.0,9877166.0,65193793.0,2803.0,746.0,10-01-2020,09/30/2021
